state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Bernie Sanders,Donald Trump,Hillary Clinton,John Kasich,Ted Cruz,HilaryPercent
FL,13635,12884,5.8,12884,4,17.1,26.5,43.7,78.7,14,5.6,0.7,0.1,1,21.7,60.4,87.5,14.7,20.7,78,12.2,1205,24.5,6825,72.1,5.7,87700,3843,3.05,16011,34694,24.5,106,881,6,517,354,0,0,0,0,0,29.4,0,0,13064,1191,4894,14,806.01,16,0,0,0,0,0,0
SC,27876,28963,-3.8,28961,5.4,21.8,18.5,52.5,66.2,31.7,0.3,0.3,0.1,1.5,1.2,65.4,88.8,0.7,1.7,78.1,12.9,2062,26.4,14015,73.1,7.8,74000,11854,2.37,19037,32556,20.1,449,5968,-1.9,1104,1681,17.7,0,0,0,0,31.1,488385,0,192164,6936,18534,14,514.17,56.3,0,0,0,0,0,0
GA,7995,7421,7.7,7421,4.3,16.9,12.8,34.8,60.2,38.4,0.2,0.3,0.1,0.9,5.4,55.8,96.4,1,1.1,74.8,8.5,445,21,2594,66.6,7.2,54200,2096,2.03,8948,24382,31.3,67,1011,3.9,352,325,0,0,0,0,0,0,0,8175,18141,2674,0,0,295.48,25.1,0,0,0,0,0,0
TN,8002,7870,1.7,7870,5.5,22.8,15.5,50.4,87.8,9.1,0.7,0.3,0,2,3,85.3,87.9,1.4,1.3,78.5,12.9,572,31.8,3409,75.4,10.4,115500,2899,2.66,20491,43034,13.6,119,1056,1,574,899,0,0,0,0,0,29.3,0,0,41695,5409,4556,45,114.19,68.9,0,0,0,0,0,0
NY,47736,48946,-2.5,48946,5.1,20.7,17.1,49.4,95.8,1.3,0.3,1.3,0,1.3,1.6,94.6,85.6,2.1,4.9,88.3,18.9,4359,20.8,26002,73.3,12,69600,18786,2.32,20978,42445,16.5,812,11455,-4.8,2534,3326,0,0,0,0,0,29.3,965927,51358,276686,5626,40159,64,1029.31,47.6,0,0,0,0,0,0
NY,41984,42883,-2.1,42883,4.9,20.2,16.2,50.3,90,6.7,0.8,0.5,0,1.9,4.7,86.4,85.3,3.5,6.8,85.5,16.4,3376,24.9,18475,77.4,17.4,91100,15725,2.51,22255,48502,13.4,646,8024,-7.2,1802,2965,0,0,0,0,0,25.5,465198,88554,262619,6198,21341,27,391.26,109.6,0,0,0,0,0,0
VA,24483,22542,8.6,22565,9,23.5,15.4,50.7,73.3,5.4,0.8,17,0.1,3.4,16.6,58.8,81.7,25.2,31.8,92,51.9,1752,31.7,8810,68.4,23.7,456700,8492,2.65,44345,97242,7.2,2207,29657,8.1,2866,5919,4.1,0,22.1,0,8.9,28.7,0,192265,1884013,80800,140285,54,6.24,3616.8,0,0,0,0,0,0
VA,56358,56166,0.3,56159,4.8,19.7,20.8,50.7,89.4,8.4,0.5,0.4,0,1.3,2.7,87.2,85.6,2.5,3.2,82.7,19.1,4703,29.8,29471,78,7.9,163700,23358,2.34,24557,45624,14,1161,12040,0.9,3690,5094,5,0,0,0,0,23.8,0,473610,444514,8657,40310,112,690.43,81.3,0,0,0,0,0,0
TN,288906,262604,10,262604,6.5,25,9.6,50.7,79.7,14,0.5,3.3,0.1,2.3,7.2,73.6,81.2,7,9.9,89.7,28.3,19043,26.9,109535,67.6,20.6,159100,96731,2.73,25077,55401,13,4670,96226,11.6,18296,20939,6.1,0,2.6,0,2.7,25.3,11304846,6226284,2804294,11588,386963,2744,619.36,424,0,0,0,0,0,0
NJ,275209,274549,0.2,274549,6.1,22.1,15.8,51.6,71.3,17.3,0.7,8.2,0.1,2.5,18.5,56.8,88.7,16.3,25.9,84.4,24.2,16672,23.9,127375,68.2,31.9,237400,101091,2.64,27391,54235,14.4,6495,114051,-2.4,15850,21027,7,0,7.4,0,0,27.8,0,1342162,4429395,16409,6093042,722,555.7,494.1,0,0,0,0,0,0
AL,20110,21029,-4.4,21027,6,23,18.6,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6,87.4,0.7,1.2,83.7,17.4,1462,22.4,10207,71.3,9.1,89600,8464,2.42,22072,35079,24,478,5876,1.8,1019,1604,0,0,0,0,0,21.4,542135,64589,197221,9274,16684,0,976.88,21.5,0,0,0,0,0,0
NY,18479,18344,0.7,18343,5.1,19.7,19.2,49.6,96.7,1.2,0.3,0.4,0,1.4,1.7,95.3,89.4,2,3.9,89.1,16.9,1655,25.5,9576,78.5,9.9,94400,7684,2.33,24173,46976,11.5,387,4275,18.3,1117,1491,0,0,0,0,0,30.4,0,0,179850,9504,25487,31,328.33,55.9,0,0,0,0,0,0
FL,48801,49761,-1.9,49746,4.9,18.8,18,44.8,69.8,27,0.8,0.6,0.2,1.7,4.8,65.7,86.1,2.8,5.7,78,14.2,5114,24,20821,74.3,7.2,88100,16244,2.55,17525,36809,19.9,767,8740,-1.9,2687,3106,0,0,0,0,2.4,27.1,180603,70612,541943,11070,43151,29,917.76,54.2,0,0,0,0,0,0
NE,1303,1311,-0.6,1311,5.4,21.6,21.1,49.4,96.6,0.2,1.3,0.2,0,1.8,4.8,92.5,96.4,2.6,0.9,91.2,27,130,20.2,821,77.4,1.2,86500,553,2.22,31517,42014,9.3,13,35,-2.8,114,0,0,0,0,0,0,0,0,0,0,0,0,3,2066.74,0.6,0,0,0,0,0,0
FL,339167,331303,2.4,331298,4.9,18.8,27.9,52,82.9,13.2,0.5,1.6,0.1,1.7,11.9,72.2,84.6,7.6,11.9,85,17.4,39952,24.8,163542,76.7,9.9,119400,134002,2.43,21992,39453,18.1,6787,74910,2.6,22900,29443,7.5,0,2.4,0,8.2,27.6,1841509,1639464,4218810,13060,353110,754,1584.55,209.1,0,0,0,0,0,0
UT,329692,306479,7.6,306479,8.9,33.3,9.1,49.6,92.7,1.4,0.7,2,0.7,2.5,9.1,84.7,86.1,4.7,8.8,95.4,34.1,20019,22.3,103628,77.7,15.7,222600,95238,3.25,26035,69707,7.9,6499,75584,0.2,21103,25119,0.4,0.2,1.4,0.4,2.7,25.4,4985245,0,3217656,11177,274255,1512,298.78,1025.8,0,0,0,0,0,0
OH,40831,40814,0,40814,6.5,25.4,16.8,49.8,97.6,0.4,0.3,0.5,0.2,0.9,1.8,96.1,90.4,0.9,2.4,90.7,16.2,3104,18.4,17666,79.1,11.4,124200,15851,2.55,24157,52535,9.4,950,15273,3.8,2675,3227,0,0,0,0,0,26.3,927946,655684,394378,9664,39441,65,462.45,88.3,0,0,0,0,0,0
TX,3162,3461,-8.6,3461,5.8,29.2,15.1,48.9,95.4,1.8,0.6,0.5,0,1.7,52.2,45.4,88.1,13,34.2,76.3,21.9,169,23.8,1492,73.8,8.1,86400,1078,3.05,24787,50648,22.8,54,508,12.1,273,0,0,0,0,0,0,0,0,13063,10353,3770,333,1,1310.63,2.6,0,0,0,0,0,0
IL,7492,8238,-9.1,8238,6.4,22.9,18.2,49.7,60.3,36.6,0.5,0.3,0.1,2.2,2.1,58.8,86.7,1.3,2.5,74.6,8.4,678,25.6,3953,65.8,14.2,54400,2860,2.62,13619,26972,31.6,107,1037,-6.3,416,383,0,0,0,0,0,43.1,0,0,22853,2785,0,0,235.51,35,0,0,0,0,0,0
NC,97076,98083,-1,98078,5.7,22.3,17.1,51.8,76.1,20.9,0.3,1,0,1.6,3.1,73.5,88.2,2.4,4,82,16.3,6802,23.5,43264,68,9.9,106100,37760,2.53,20062,38989,19.3,1926,28081,1.4,5366,7891,7.7,0,1.4,0,2,22.8,2229759,1247018,928777,9448,96647,128,464.25,211.3,0,0,0,0,0,0
NV,54522,55274,-1.4,55274,5.2,20.5,19.2,48.9,89.5,2.2,2.7,2.3,0.3,2.9,22.8,68.8,79.1,11,19.4,86.4,20.1,6232,16.6,23464,58.1,26.7,198900,21186,2.5,26264,51957,16.2,1935,20226,-5.9,4878,8470,0.6,0.6,3.1,0,5.2,20,621630,0,991506,18025,127696,35,144.66,382.1,0,0,0,0,0,0
TX,10370,10752,-3.6,10752,4.9,21.6,20.3,49.8,95.5,0.9,1.5,0.3,0,1.9,5.4,90.9,89.8,1.6,3.9,88.5,18.2,849,25.1,5149,85.2,2.3,81600,4216,2.51,25867,53776,10.3,124,862,-5.2,773,535,0,0,0,0,0,0,0,5438,77638,6984,2572,5,1088.72,9.9,0,0,0,0,0,0
GA,69469,67044,3.6,67044,6.7,25.3,13.7,51.8,60.7,35.4,0.4,1.8,0.2,1.5,3.7,57.8,82,4.2,5.9,81.8,18.6,4638,20.9,28250,60.9,17,121300,24441,2.7,21443,41161,23.6,1410,33030,2,5252,5768,25.8,0.7,1.7,0,0,31,2470774,0,798823,12600,88719,133,413.99,161.9,0,0,0,0,0,0
CA,2112619,2035215,3.8,2035210,7.3,27.2,10.3,50.2,77.3,9.5,2,7.3,0.5,3.4,51.7,30.6,82.7,21.1,41.1,78.2,18.7,104576,29.9,708297,61.9,19.8,222300,603879,3.33,21332,54090,18.7,32426,538336,3.4,135455,151888,7.9,0,11.5,0.3,27.7,30.6,18907342,27579924,21717402,10897,2754662,3405,20056.94,101.5,0,0,0,0,0,0
TX,6013,6182,-2.7,6182,5.6,25.2,17.1,50.3,95.5,0.9,1.4,0.5,0.1,1.7,10,86,87.2,2.6,8,87.6,21.5,472,19.8,2771,89.3,1.7,87700,2337,2.6,26827,65026,7.2,116,679,0.1,406,357,0,0,0,0,0,24.6,0,0,49747,7952,1831,3,920.22,6.7,0,0,0,0,0,0
ID,5957,5986,-0.5,5986,7.3,27.6,19.6,50.3,97.4,0.3,0.9,0.5,0,1,4.2,93.7,85.7,1.3,3.3,90.7,16.1,440,20,3987,81.3,5.5,129700,2442,2.42,21853,44964,12.9,117,938,2.4,420,645,0,0,0,0,0,0,0,23383,58739,10031,0,35,974.79,6.1,0,0,0,0,0,0
GA,11483,11999,-4.3,12010,4.5,19.7,18.9,56.8,65.6,31.7,0.4,1.1,0.1,1.1,3.5,62.7,90.9,2.2,5.9,77.5,9.6,932,24,5136,68,5.7,87300,4034,2.54,17781,41550,15.7,173,1895,-0.5,671,685,0,0,0,0,0,0,0,21369,84491,8619,13668,17,249.03,48.2,0,0,0,0,0,0
TX,652,641,1.7,641,5.4,21.6,20.6,46.5,95.7,0.6,0.9,0.2,0,2.6,16.9,80.8,86.7,1.1,5.7,92.1,32.1,50,24.7,385,66.7,1.7,100000,225,2.88,50042,71607,0.9,6,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,897.44,0.7,0,0,0,0,0,0
IL,5814,6006,-3.2,6006,4.7,20.2,19.8,49.1,97.6,0.9,0.3,0.3,0,1,4.7,93.1,90.5,1.5,4.5,88.8,14.1,615,21.9,3114,79.6,7.9,126500,2471,2.39,27074,54196,14.2,131,1089,-8.5,365,493,0,0,0,0,0,16.8,0,0,21663,3619,2266,13,160.16,37.5,0,0,0,0,0,0
